Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Max Heart Rate,Relative Effort,Filename,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Average Elapsed Speed,Dirt Distance,Total Steps,Average Grade Adjusted Pace,temperature_2m,relative_humidity_2m,wind_speed_10m,workout_style
17764378190,2026-03-18 17:46:52,Afternoon Run,Run,400 × 6,1164,185.0,19.0,activities/18863267611.fit.gz,617.0,2403.6,5.233,3.896,8.5,11.8,13.0,17.8,25.3,-0.2,110.0,79.0,166.0,114.0,2425.9,,,,,,,,,,,,,,,,,,,2.065,0.0,1600.0,3.932,29.8,63,11.7,Interval
17764378095,2026-03-18 17:37:52,Afternoon Run,Run,Warmup,490,156.0,4.0,activities/18863267556.fit.gz,490.0,1262.9,3.525,2.577,2.8,3.8,13.0,17.8,3.3,-0.1,81.0,77.0,141.0,73.0,1266.3,,,,,,,,,,,,,,,,,,,2.577,0.0,1248.0,2.584,29.8,63,11.7,Steady State
17728209335,2026-03-15 17:12:16,Afternoon Run,Run,,2004,176.0,51.0,activities/18826921785.fit.gz,1939.0,5008.4,3.475,2.583,18.6,21.2,8.9,17.4,4.4,-0.1,79.0,76.0,162.0,324.0,5039.4,,,,,,,,,,,,,,,,,,,2.499,427.6,4884.0,2.599,28.8,68,14.0,Steady State
17705920260,2026-03-13 17:11:02,Afternoon Run,Run,Tempo,910,192.0,47.0,activities/18804446045.fit.gz,907.0,3002.1,4.7,3.31,3.2,3.2,11.4,14.7,1.0,0.0,81.0,76.0,179.0,179.0,3004.2,,,,,,,,,,,,,,,,,,,3.299,0.0,2288.0,3.312,30.2,57,15.4,Steady State
17705807292,2026-03-13 16:59:06,Afternoon Run,Run,Warmup,539,146.0,1.0,activities/18804332584.fit.gz,416.0,1006.1,3.0,2.419,0.0,5.1,12.4,18.0,4.0,-0.4,79.0,78.0,131.0,57.0,998.8,,,,,,,,,,,,,,,,,,,1.867,207.5,1062.0,2.401,31.2,56,14.1,Steady State
17684753706,2026-03-11 20:42:23,Evening Run,Run,400 × 6,1396,184.0,17.0,activities/18783187179.fit.gz,590.0,2411.3,5.48,4.087,6.7,0.0,9.3,16.2,14.9,0.2,85.0,81.0,165.0,105.0,2429.5,,,,,,,,,,,,,,,,,,,1.727,0.0,1576.0,4.118,27.4,70,11.6,Interval
17684747593,2026-03-11 20:27:17,Evening Run,Run,Warmup,762,154.0,5.0,activities/18783180991.fit.gz,748.0,1660.4,3.08,2.22,3.5,12.3,10.2,22.0,5.3,-0.7,100.0,76.0,140.0,106.0,1651.4,,,,,,,,,,,,,,,,,,,2.179,0.0,1892.0,2.208,,,,Steady State
17645742116,2026-03-08 17:40:18,Afternoon Run,Run,,3657,175.0,74.0,activities/18743929028.fit.gz,3544.0,8501.7,3.42,2.399,20.3,24.1,10.8,18.6,3.1,0.0,80.0,77.0,156.0,547.0,8514.1,,,,,,,,,,,,,,,,,,,2.325,1587.3,9068.0,2.402,,,,Steady State
17599954069,2026-03-04 20:20:19,Evening Run,Run,400 × 6,977,194.0,29.0,activities/18697882980.fit.gz,640.0,2407.8,4.933,3.762,2.6,2.6,9.3,12.0,2.6,0.0,80.0,77.0,176.0,123.0,2410.9,,,,,,,,,,,,,,,,,,,2.464,0.0,1610.0,3.767,,,,Interval
17599954104,2026-03-04 20:08:57,Evening Run,Run,Warmup,514,148.0,2.0,activities/18697882968.fit.gz,471.0,1092.9,2.767,2.32,2.9,10.0,10.2,18.1,2.0,-0.7,79.0,77.0,133.0,63.0,1078.3,,,,,,,,,,,,,,,,,,,2.126,0.0,1198.0,2.289,25.0,91,8.4,Steady State
